Product Name,Price,Product Link
"Kirkland Signature, Extra Virgin Italian Olive Oil, 2 L",$25.99,/all-costco-grocery.html
"Kirkland Signature Colombian Cold Brew Coffee, 11 fl oz, 12-count",$18.99,/all-costco-grocery.html
"Kirkland Signature Nature's Domain Salmon & Sweet Potato Formula Dog Food, 35 lbs",$49.99,https://www.costco.com/kirkland-signature-nature's-domain-salmon-%2526-sweet-potato-formula-dog-food%2c-35-lbs.product.100215967.html
"Kirkland Signature Fancy Whole Cashews, 2.5 lbs",$14.99,/all-costco-grocery.html
"Kirkland Signature, Chicken Breast, 12.5 oz, 6-Count",$14.99,/all-costco-grocery.html
"Kirkland Signature Decaffeinated Coffee, Dark Roast, 3 lbs",$17.49,/all-costco-grocery.html
"Kirkland Signature Walnut Halves, 3 lbs",$8.99,/all-costco-grocery.html
"Kirkland Signature 10-Gallon Wastebasket Liner, Clear, 500-count",$13.99,/all-costco-grocery.html
"Kirkland Signature Shelled Pistachios, 1.5 lbs",$16.99,/all-costco-grocery.html
"Kirkland Signature Flex-Tech 33-Gallon Trash Bag, 90-count",$23.99,/all-costco-grocery.html
"Kirkland Signature Olive Oil, 3 L",$36.99,/all-costco-grocery.html
"Kirkland Signature Cutlery, Clear, 360-count",$18.49,/all-costco-grocery.html
"Kirkland Signature 50-Gallon Outdoor Trash Bag, 70-count",$27.99,/all-costco-grocery.html
"Kirkland Signature 100% Colombian Coffee, Dark Roast, 1.75 oz, 42-count",$28.99,/all-costco-grocery.html
"Kirkland Signature Nitrile Exam Gloves, 400-count",$27.99,https://www.costco.com/kirkland-signature-nitrile-exam-gloves%2c-400-count.product.100497804.html
"Kirkland Signature Supreme Whole Almonds, 3 lbs",$11.99,/all-costco-grocery.html
"Kirkland Signature Pecan Halves, 2 lbs",$12.99,/all-costco-grocery.html
"Kirkland Signature, Almond Flour, 3 lbs",$11.99,/all-costco-grocery.html
"Kirkland Signature Facial Tissue, 3-Ply, 84-count, 12-pack",$19.99,/all-costco-grocery.html
"Kirkland Signature Ultra Shine Liquid Dish Soap, Fresh, 90 fl. oz.",$9.99,/all-costco-grocery.html
"Kirkland Signature Organic Roasted Seaweed, 0.6 oz, 10-count",$12.49,/all-costco-grocery.html
"Kirkland Signature, Organic Almond Beverage, Vanilla, 32 fl oz, 6-Count",$9.99,/all-costco-grocery.html
"Kirkland Signature In-Shell Pistachios, 3 lbs",$15.99,/all-costco-grocery.html
"Kirkland Signature, Almond Milk, 1 qt, 12-count",$14.99,/all-costco-grocery.html
"Kirkland Signature Adult Formula Chicken, Rice and Vegetable Dog Food, 40 lbs",$46.99,https://www.costco.com/kirkland-signature-adult-formula-chicken%2c-rice-and-vegetable-dog-food%2c-40-lbs.product.100343454.html
Kirkland Signature Nature's Domain Puppy Formula Chicken & Pea Dog Food 20 lb.,$23.99,/all-costco-grocery.html
"Kirkland Signature Dry Roasted Macadamia Nuts, 1.5 lbs",$16.99,/all-costco-grocery.html
"Kirkland Signature Elegant Plastic Plates, Variety Pack, White, 50-count",$14.99,/all-costco-grocery.html
"Kirkland Signature, Whole Dried Blueberries, 20 oz",$10.49,/all-costco-grocery.html
Kirkland Signature Chicken and Rice Cat Food 25 lbs.,$26.99,/all-costco-grocery.html
"Kirkland Signature Trail Mix, 4 lbs",$15.99,/all-costco-grocery.html
"Kirkland Signature Puppy Formula Chicken, Rice and Vegetable Dog Food 20 lbs",$22.99,/all-costco-grocery.html
"Kirkland Signature Walkers Premium Shortbread Selection, 4.6 lbs",$28.99,/all-costco-grocery.html
Kirkland Signature Nature's Domain Beef & Sweet Potato Dog Food 35 lb.,$52.99,https://www.costco.com/kirkland-signature-nature's-domain-beef-%2526-sweet-potato-dog-food-35-lb..product.100343434.html
"Whole Wheel Parmigiano Reggiano, 72 lbs.",$949.99,https://www.costco.com/whole-wheel-parmigiano-reggiano%2c-72-lbs..product.100096211.html
"Kirkland Signature Stretch-Tite Plastic Food Wrap, 12 in x 3,000 ft",$19.99,/all-costco-grocery.html
"Kirkland Signature Adult Formula Lamb, Rice and Vegetable Dog Food 40 lb.",$49.99,https://www.costco.com/kirkland-signature-adult-formula-lamb%2c-rice-and-vegetable-dog-food-40-lb..product.100334974.html
Kirkland Signature Small Formula Chicken & Vegetable Dog Food 20 lb.,$21.99,/all-costco-grocery.html
Kirkland Signature Healthy Weight Cat Food 20 lbs.,$19.99,/all-costco-grocery.html
"Kirkland Signature Organic Pine Nuts, 1.5 lbs",$29.99,/all-costco-grocery.html
"Kirkland Signature Super B-Complex with Electrolytes, 500 Tablets",$18.49,https://www.costco.com/kirkland-signature-super-b-complex-with-electrolytes%2c-500-tablets.product.100112668.html
"Kirkland Signature, Organic Quinoa, 4.5 lbs",$10.99,/all-costco-grocery.html
Kirkland Signature Nature's Domain Cat Food 18 lbs.,$25.99,/all-costco-grocery.html
"Kirkland Signature Organic Pure Maple Syrup, 33.8 oz",$14.99,/all-costco-grocery.html
"Kirkland Signature Wild Flower Honey, 5 lbs",$14.99,/all-costco-grocery.html
"Kirkland Signature Chinet 18 oz Plastic Cup, Red, 240-count",$13.99,/all-costco-grocery.html
"Kirkland Signature Fabric Softener Sheets, 250-count, 2-pack",$11.99,/all-costco-grocery.html
"Kirkland Signature Organic Animal Crackers, 4 lbs",$12.99,/all-costco-grocery.html
"Kirkland Signature, Organic Chicken Stock, 32 fl oz, 6-Count",$11.99,/all-costco-grocery.html
"Kirkland Signature, Sunsweet Whole Dried Plums, 3.5 lbs",$11.99,/all-costco-grocery.html
"Kirkland Signature Ultra Clean Laundry Detergent Pacs, 152-count",$18.99,/all-costco-grocery.html
"Kirkland Signature Facial Tissue, 2-Ply, 110-count, 30-pack",$34.99,/all-costco-grocery.html
"Kirkland Signature, Organic Virgin Coconut Oil, 84 fl oz",$14.99,/all-costco-grocery.html
"Kirkland Signature Organic Raw Honey, 24 oz, 3-count",$14.99,/all-costco-grocery.html
"Kirkland Signature, Bacon Crumbles, 20 oz",$10.99,/all-costco-grocery.html
"Kirkland Signature Ultra Fresh Premium Fabric Conditioner, 276 Loads, 187 fl oz",$13.99,/all-costco-grocery.html
"Kirkland Signature, Minced California Garlic, 48 oz",$8.49,/all-costco-grocery.html
"Kirkland Signature, Organic Tomato Sauce, 15 oz, 12-Count",$13.99,/all-costco-grocery.html
"Kirkland Signature, Pure Sea Salt, 30 oz",$3.99,/all-costco-grocery.html
"Kirkland Signature Praline Pecans, 2.5 lbs",$16.99,/all-costco-grocery.html
"Kirkland Signature, Organic Diced Tomatoes, 14.5 oz, 8-Count",$7.99,/all-costco-grocery.html
"Kirkland Signature Premium Extra Thick Steak Strips, 12 oz",$12.99,/all-costco-grocery.html
"Kirkland Signature Reynolds Foodservice Aluminum Foil, Pre-Cut Single Sheets, 500-count",$15.99,/all-costco-grocery.html
"Kirkland Signature Dental Chews, 72-count",$36.99,https://www.costco.com/kirkland-signature-dental-chews%2c-72-count.product.100234581.html
"Kirkland Signature, Organic Sugar, 10 lbs",$10.99,/all-costco-grocery.html
"Kirkland Signature Reynolds Foodservice Foil, 12 in x 1,000 ft",$34.99,/all-costco-grocery.html
"Kirkland Signature Green Tea Bags, 1.5 g, 100-count",$12.99,/all-costco-grocery.html
"Kirkland Signature Chicken Meal & Rice Formula Dog Biscuits, 15 lbs",$18.99,/all-costco-grocery.html
"Kirkland Signature, Organic Soy Beverage, Vanilla, 32 fl oz, 12-Count",$17.99,/all-costco-grocery.html
"Kirkland Signature, Organic Tomato Paste, 6 oz, 12-Count",$10.99,/all-costco-grocery.html
"Kirkland Signature Stretch-Tite Plastic Food Wrap, 11 7/8 in x 758 ft, 2-count",$14.99,/all-costco-grocery.html
"Kirkland Signature Reynolds Foodservice Foil HD, 18 in x 500 ft",$35.99,/all-costco-grocery.html
"Kirkland Signature Non-Stick Parchment Paper Rolls, 15 in x 164 ft, 2-pack",$14.99,/all-costco-grocery.html
"Kirkland Signature Organic Blue Agave, 36 oz, 2-count",$10.99,/all-costco-grocery.html
"Kirkland Signature, Black Pepper with Grinder, 6.3 oz, 2-Count",$9.99,/all-costco-grocery.html
"Kirkland Signature, Evaporated Milk, 12 fl oz, 12-Count",$13.99,/all-costco-grocery.html
"Kirkland Signature Organic No-Salt Seasoning, 14.5 oz",$9.99,/all-costco-grocery.html
"Kirkland Signature, Crushed Red Pepper, 10 oz",$4.79,/all-costco-grocery.html
"Kirkland Signature, Organic Soy Beverage, Plain, 32 fl oz, 12-Count",$17.99,/all-costco-grocery.html
"Kirkland Signature, Whole Black Peppercorn, 14.1 oz",$5.99,/all-costco-grocery.html
"Kirkland Signature, Organic Salsa, Medium, 38 oz, 2-Count",$11.49,/all-costco-grocery.html
"Kirkland Signature Oxi Power Laundry Detergent Pacs, 110-count",$23.99,/all-costco-grocery.html
